GameName,date,time,*GameTeam*,HomeTeam-,AwayTeam-
NOP @ TOR,10/22/19,17:00,"NOP,TOR",TOR,NOP
LAL @ LAC,10/22/19,19:30,"LAL,LAC",LAC,LAL
CHI @ CHA,10/23/19,16:00,"CHI,CHA",CHA,CHI
DET @ IND,10/23/19,16:00,"DET,IND",IND,DET
CLE @ ORL,10/23/19,16:00,"CLE,ORL",ORL,CLE
MIN @ BRK,10/23/19,16:30,"MIN,BRK",BRK,MIN
MEM @ MIA,10/23/19,16:30,"MEM,MIA",MIA,MEM
BOS @ PHI,10/23/19,16:30,"BOS,PHI",PHI,BOS
WAS @ DAL,10/23/19,17:30,"WAS,DAL",DAL,WAS
NYK @ SAN,10/23/19,17:30,"NYK,SAN",SAN,NYK
OKC @ UTA,10/23/19,18:00,"OKC,UTA",UTA,OKC
SAC @ PHX,10/23/19,19:00,"SAC,PHX",PHX,SAC
DEN @ POR,10/23/19,19:00,"DEN,POR",POR,DEN
ATL @ DET,10/24/19,16:00,"ATL,DET",DET,ATL
MIL @ HOU,10/24/19,17:00,"MIL,HOU",HOU,MIL
LAC @ GSW,10/24/19,19:30,"LAC,GSW",GSW,LAC
TOR @ BOS,10/25/19,16:00,"TOR,BOS",BOS,TOR
MIN @ CHA,10/25/19,16:00,"MIN,CHA",CHA,MIN
NYK @ BRK,10/25/19,16:30,"NYK,BRK",BRK,NYK
CHI @ MEM,10/25/19,17:00,"CHI,MEM",MEM,CHI
DAL @ NOP,10/25/19,17:00,"DAL,NOP",NOP,DAL
WAS @ OKC,10/25/19,17:00,"WAS,OKC",OKC,WAS
PHX @ DEN,10/25/19,18:00,"PHX,DEN",DEN,PHX
POR @ SAC,10/25/19,19:00,"POR,SAC",SAC,POR
UTA @ LAL,10/25/19,19:30,"UTA,LAL",LAL,UTA
MIA @ MIL,10/26/19,14:00,"MIA,MIL",MIL,MIA
PHI @ DET,10/26/19,16:00,"PHI,DET",DET,PHI
ORL @ ATL,10/26/19,16:30,"ORL,ATL",ATL,ORL
BOS @ NYK,10/26/19,16:30,"BOS,NYK",NYK,BOS
IND @ CLE,10/26/19,17:00,"IND,CLE",CLE,IND
TOR @ CHI,10/26/19,17:00,"TOR,CHI",CHI,TOR
NOP @ HOU,10/26/19,17:00,"NOP,HOU",HOU,NOP
WAS @ SAN,10/26/19,17:30,"WAS,SAN",SAN,WAS
SAC @ UTA,10/26/19,18:00,"SAC,UTA",UTA,SAC
LAC @ PHX,10/26/19,19:00,"LAC,PHX",PHX,LAC
GSW @ OKC,10/27/19,12:30,"GSW,OKC",OKC,GSW
BRK @ MEM,10/27/19,15:00,"BRK,MEM",MEM,BRK
POR @ DAL,10/27/19,16:00,"POR,DAL",DAL,POR
MIA @ MIN,10/27/19,16:00,"MIA,MIN",MIN,MIA
CHA @ LAL,10/27/19,18:30,"CHA,LAL",LAL,CHA
IND @ DET,10/28/19,16:00,"IND,DET",DET,IND
CHI @ NYK,10/28/19,16:00,"CHI,NYK",NYK,CHI
PHI @ ATL,10/28/19,16:30,"PHI,ATL",ATL,PHI
ORL @ TOR,10/28/19,16:30,"ORL,TOR",TOR,ORL
OKC @ HOU,10/28/19,17:00,"OKC,HOU",HOU,OKC
CLE @ MIL,10/28/19,17:00,"CLE,MIL",MIL,CLE
GSW @ NOP,10/28/19,17:00,"GSW,NOP",NOP,GSW
POR @ SAN,10/28/19,17:30,"POR,SAN",SAN,POR
UTA @ PHX,10/28/19,19:00,"UTA,PHX",PHX,UTA
DEN @ SAC,10/28/19,19:00,"DEN,SAC",SAC,DEN
